TeamName,League
Arizona Diamondbacks,NL
Atlanta Braves,NL
Baltimore Orioles,AL
Boston Red Sox,AL
Chicago Cubs,NL
Chicago White Sox,AL
Cincinnati Reds,NL
Cleveland Guardians,AL
Colorado Rockies,NL
Detroit Tigers,AL
Houston Astros,AL
Kansas City Royals,AL
Los Angeles Angels,AL
Los Angeles Dodgers,NL
Miami Marlins,NL
Milwaukee Brewers,NL
Minnesota Twins,AL
New York Mets,NL
New York Yankees,AL
Oakland Athletics,AL
Philadelphia Phillies,NL
Pittsburgh Pirates,NL
San Diego Padres,NL
San Francisco Giants,NL
Seattle Mariners,AL
St. Louis Cardinals,NL
Tampa Bay Rays,AL
Texas Rangers,AL
Toronto Blue Jays,AL
Washington Nationals,NL
