Team,League,Division,Runs/Game,Home Runs,Stolen Bases,Batting Avg. 
Arizona Diamondbacks,NL,West,5.22,119,61,0.255
Athletics,AL,West,4.11,103,46,0.249
Atlanta Braves,NL,East,4.12,83,42,0.244
Baltimore Orioles,AL,East,4.15,98,58,0.239
Boston Red Sox,AL,East,4.71,101,69,0.249
Chicago Cubs,NL,Central,5.46,124,99,0.257
Chicago White Sox,AL,Central,3.4,65,56,0.22
Cincinnati Reds,NL,Central,4.63,91,65,0.247
Cleveland Guardians,AL,Central,3.74,81,65,0.227
Colorado Rockies,NL,West,3.51,78,43,0.226
Detroit Tigers,AL,Central,5.01,104,30,0.255
Houston Astros,AL,West,4.19,90,46,0.255
Kansas City Royals,AL,Central,3.33,58,64,0.246
Los Angeles Angels,AL,West,4.33,124,37,0.228
Los Angeles Dodgers,NL,West,5.62,131,45,0.263
Miami Marlins,NL,East,4.28,72,64,0.255
Milwaukee Brewers,NL,Central,4.75,77,97,0.249
Minnesota Twins,AL,Central,4.29,96,40,0.242
New York Mets,NL,East,4.37,108,64,0.245
New York Yankees,AL,East,5,122,58,0.252
Philadelphia Phillies,NL,East,4.63,88,70,0.255
Pittsburgh Pirates,NL,Central,3.39,56,74,0.231
San Diego Padres,NL,West,4.18,72,56,0.247
Seattle Mariners,AL,West,4.56,106,79,0.247
San Francisco Giants,NL,West,4.18,79,43,0.231
St. Louis Cardinals,NL,Central,4.71,85,45,0.254
Tampa Bay Rays,AL,East,4.84,92,107,0.26
Texas Rangers,AL,West,3.66,82,69,0.227
Toronto Blue Jays,AL,East,4.39,81,43,0.257
Washington Nationals,NL,East,4.33,85,72,0.244
